Segundo,Bytes_Por_Segundo
40.234999143,1444
40.235117708,1444
40.235173387,1444
40.235250866,1444
40.235269604,1444
40.235344196,1444
40.235486923,1444
40.235555576,1444
40.235624332,1444
40.235638361,1444
40.235676666,1444
40.235746567,1444
40.235800233,1444
40.235855154,1444
40.235987287,1444
40.236063166,1444
40.236075715,1444
40.236130486,1444
40.23621125,1444
40.236282216,1444
40.236325499,1444
40.236384284,1444
40.236456797,1444
40.236517418,1444
40.236589616,1444
40.236681253,1444
40.236741536,1444
40.236803841,1444
40.236851503,1444
40.236911665,1444
40.236984616,1444
40.237042281,1444
40.237116809,1444
40.237181013,1444
40.237248554,1444
40.237307233,1444
40.237379695,1444
40.237436094,1444
40.237512736,1444
40.237577131,1444
40.23764376,1444
40.237733265,1444
40.237772466,1444
40.237834832,1444
40.237906625,1444
40.237967683,1444
40.238038791,1444
40.238093873,1444
40.2381707,1444
40.238235915,1444
40.238302614,1444
40.238358423,1444
40.238434834,1444
40.238494309,1444
40.238565513,1444
40.238625532,1444
40.23869661,1444
40.238752332,1444
40.238830563,1444
40.238921421,1444
40.23897629,1444
40.239038438,1444
40.239095685,1444
40.239150663,1444
40.239224611,1444
40.239282945,1444
40.239355704,1444
40.239434123,1444
40.239487617,1444
40.239544786,1444
40.239619718,1444
40.239680738,1444
40.239750705,1444
40.239811837,1444
40.239883816,1444
40.239967457,1444
40.240015846,1444
40.240082484,1444
40.240148805,1444
40.240209543,1444
40.240278685,1444
40.240342628,1444
40.240411607,1444
40.240494808,1444
40.24054263,1444
40.24060644,1444
40.240677624,1444
40.240747936,1444
40.240806699,1444
40.240873609,1444
40.24093848,1444
40.241036681,1444
40.241088607,1444
40.241156608,1444
40.241201805,1444
40.241269618,1444
40.241332483,1444
40.241393572,1444
40.241464417,1444
40.241534907,1444
40.241596454,1444
40.241661109,1444
40.241727465,1444
40.241792544,1444
40.241860613,1444
40.241930043,1444
40.241992575,1444
40.242350797,1444
40.242491336,1444
40.242503184,1444
40.242509376,1444
40.242515228,1444
40.242570401,1444
40.242577702,1444
40.24260996,1444
40.242616931,1444
40.242642735,1444
40.242708121,1444
40.242782576,1444
40.242850832,1444
40.242915711,1444
40.242977059,1444
40.24304451,1444
40.243110382,1444
40.243177561,1444
40.243278298,1444
40.243323877,1444
40.243402893,1444
40.243447607,1444
40.2435314,1444
40.243577467,1444
40.243655998,1444
40.243709585,1444
40.243793014,1444
40.243848142,1444
40.243930629,1444
40.244008447,1444
40.244076993,1444
40.2441297,1444
40.244190149,1444
40.244231673,1444
40.244308538,1444
40.244376635,1444
40.244432234,1444
40.244495458,1444
40.244555015,1444
40.244627632,1444
40.244687896,1444
40.244758471,1444
40.244815688,1444
40.244890504,1444
40.244950596,1444
40.2450227,1444
40.245083019,1444
40.245153543,1444
40.245211093,1444
40.245286943,1444
40.24536265,1444
40.245417791,1444
40.245479236,1444
40.245548518,1444
40.245604991,1444
40.245681516,1444
40.245741018,1444
40.245813703,1444
40.245873433,1444
40.245943608,1444
40.246003148,1444
40.246077304,1444
40.246136484,1444
40.246208453,1444
40.246264311,1444
40.246339725,1444
40.246434535,1444
40.246491587,1444
40.246567899,1444
40.24660372,1444
40.246674241,1444
40.246735536,1444
40.24682643,1444
40.246868035,1444
40.246931115,1444
40.247006825,1444
40.247062342,1444
40.247130768,1444
40.247193424,1444
40.247262349,1444
40.247318649,1444
40.24739359,1444
40.247469345,1444
40.247525633,1444
40.247590192,1444
40.247657528,1444
40.24771156,1444
40.247789502,1444
40.247849484,1444
40.247920696,1444
40.248054094,1444
40.248061769,1444
40.248110165,1444
40.248184408,1444
40.248246831,1444
