Segundos_em_0.0001,Bytes_Por_0.0001_Segundo,Quantidade_pacotes
9.9753,1444,1
9.9754,1444,1
9.9765,1444,1
9.9766,1444,1
9.9776,1444,1
9.9778,1444,1
9.9787,1444,1
9.9788,1444,1
9.9798,1444,1
9.98,1444,1
9.981,1444,1
9.9811,1444,1
9.9821,1444,1
9.9822,1444,1
9.9832,1444,1
9.9834,1444,1
9.9843,1444,1
9.9845,1444,1
9.9854,1444,1
9.9855,1444,1
9.9866,1444,1
9.9867,1444,1
9.9877,1444,1
9.9878,1444,1
9.9888,1444,1
9.9889,1444,1
9.9899,1444,1
9.99,1444,1
9.9911,1444,1
9.9912,1444,1
9.9922,2888,2
9.9933,1444,1
9.9934,1444,1
9.9944,1444,1
9.9945,1444,1
9.9955,1444,1
9.9956,1444,1
9.9966,1444,1
9.9967,1444,1
9.9978,1444,1
9.9979,1444,1
9.9989,1444,1
9.999,1444,1
10.0,1444,1
10.0002,1444,1
10.0011,1444,1
10.0012,1444,1
10.0023,1444,1
10.0024,1444,1
10.0034,1444,1
10.0035,1444,1
10.0045,1444,1
10.0046,1444,1
10.0056,1444,1
10.0057,1444,1
10.0068,2888,2
10.0079,1444,1
10.008,1444,1
10.009,1444,1
10.0091,1444,1
10.0101,1444,1
10.0102,1444,1
10.0112,1444,1
10.0113,1444,1
10.0124,1444,1
10.0125,1444,1
10.0135,1444,1
10.0136,1444,1
10.0146,1444,1
10.0147,1444,1
10.0157,1444,1
10.0159,1444,1
10.0168,1444,1
10.0169,1444,1
10.018,1444,1
10.0181,1444,1
10.0191,1444,1
10.0192,1444,1
10.0202,1444,1
10.0204,1444,1
10.0213,1444,1
10.0214,1444,1
10.0225,2888,2
10.0235,1444,1
10.0236,1444,1
10.0247,1444,1
10.0248,1444,1
10.0258,1444,1
10.0259,1444,1
10.0269,1444,1
10.027,1444,1
10.028,1444,1
10.0281,1444,1
10.0292,1444,1
10.0293,1444,1
10.0303,1444,1
10.0304,1444,1
10.0314,1444,1
10.0315,1444,1
10.0325,1444,1
10.0326,1444,1
10.0337,1444,1
10.0338,1444,1
10.0348,1444,1
10.0349,1444,1
10.0359,1444,1
10.0361,1444,1
10.037,1444,1
10.0371,1444,1
10.0382,1444,1
10.0383,1444,1
10.0393,1444,1
10.0394,1444,1
10.0404,1444,1
10.0405,1444,1
10.0415,1444,1
10.0417,1444,1
10.0426,1444,1
10.0427,1444,1
10.0438,1444,1
10.0439,1444,1
10.0449,1444,1
10.045,1444,1
10.046,1444,1
10.0461,1444,1
10.0471,1444,1
10.0472,1444,1
10.0482,1444,1
10.0483,1444,1
10.0498,1444,1
10.0499,1444,1
10.0505,1444,1
