Source IP,Destination IP,Source Port,Destination Port,Protocol,Length,Time Since Reference
10.0.1.1,10.0.4.4,50000,50000,17,1444,0E-9
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.000143615
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.004512954
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.004586286
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.008949306
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.009053795
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.013432268
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.013509717
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.017914331
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.017983818
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.022398916
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.022466299
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.026883122
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.027000274
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.031369105
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.031433824
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.035850083
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.035920521
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.040346368
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.040506486
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.044857415
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.044937277
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.049310755
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.049386030
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.053789917
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.053939116
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.058296521
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.058442650
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.062785198
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.062877227
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.067270292
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.067346863
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.071751189
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.071913900
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.076220711
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.076343122
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.080714346
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.080850838
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.085190554
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.085294939
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.089661904
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.089815192
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.094149189
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.094287947
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.098649446
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.098831513
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.103178528
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.103329038
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.107600145
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.107712859
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.112109910
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.112311011
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.116598934
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.116725235
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.121075111
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.121174495
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.125542044
10.0.1.1,10.0.4.4,50000,50000,17,1444,0.125665065
