Segundos,Bytes_Por_Segundo
9.714901,1444
9.715472,1444
9.71601,1444
9.7165785,1444
9.717121,1444
9.717695,1444
9.718238,1444
9.718812,1444
9.719356,1444
9.719926,1444
9.720462,1444
9.721029,1444
9.721571,1444
9.722146,1444
9.72269,1444
9.723264,1444
9.723813,1444
9.724391,1444
9.724934,1444
9.725502,1444
9.72604,1444
9.72661,1444
9.727151,1444
9.727725,1444
9.728267,1444
9.728836,1444
9.729374,1444
9.729944,1444
9.730487,1444
9.731062,1444
9.731615,1444
9.732195,1444
9.732741,1444
9.733309,1444
9.733842,1444
9.734406,1444
9.734946,1444
9.735521,1444
9.736071,1444
9.736648,1444
9.737202,1444
9.737778,1444
9.7383175,1444
9.738886,1444
9.739431,1444
9.740004,1444
9.740539,1444
9.741108,1444
9.7416525,1444
9.742227,1444
9.742765,1444
9.743337,1444
9.743889,1444
9.744468,1444
9.745008,1444
9.745575,1444
9.74611,1444
9.746673,1444
9.747208,1444
9.747777,1444
9.748323,1444
9.748901,1444
9.749448,1444
9.750022,1444
9.750561,1444
9.751128,1444
9.751665,1444
9.752238,1444
9.752783,1444
9.753363,1444
9.753912,1444
9.75449,1444
9.755031,1444
9.755596,1444
9.756129,1444
9.756698,1444
9.757244,1444
9.757827,1444
9.758379,1444
9.75896,1444
9.759517,1444
9.760098,1444
9.760639,1444
9.761206,1444
9.761739,1444
9.762303,1444
9.762844,1444
9.763413,1444
9.763962,1444
9.764533,1444
9.765082,1444
9.7656555,1444
9.766197,1444
9.766766,1444
9.767306,1444
9.767875,1444
9.768416,1444
9.768988,1444
9.76953,1444
9.7701025,1444
9.770645,1444
9.771217,1444
9.77176,1444
9.772388,1444
9.77303,1444
9.773645,1444
9.774161,1444
9.774676,1444
9.775158,1444
9.775688,1444
9.776209,1444
9.776777,1444
9.777324,1444
9.777898,1444
9.778446,1444
9.779019,1444
9.779562,1444
9.780134,1444
9.780683,1444
9.7812605,1444
9.781832,1444
9.782417,1444
9.782954,1444
9.78351,1444
9.784038,1444
9.7846,1444
9.785139,1444
9.785711,1444
9.786256,1444
9.786827,1444
9.787371,1444
9.7879505,1444
9.788501,1444
9.789078,1444
9.7896185,1444
9.790188,1444
9.790721,1444
9.7912855,1444
9.791824,1444
9.792395,1444
9.79295,1444
9.79354,1444
9.794095,1444
9.794672,1444
9.795204,1444
9.795763,1444
9.796295,1444
9.796859,1444
9.797398,1444
9.797965,1444
9.79851,1444
9.799084,1444
9.799633,1444
9.800207,1444
9.800748,1444
9.801318,1444
9.801858,1444
9.802432,1444
9.802979,1444
9.803556,1444
9.804102,1444
9.804674,1444
9.805214,1444
9.805782,1444
9.806322,1444
9.806898,1444
9.807449,1444
9.808026,1444
9.808565,1444
9.809129,1444
9.809667,1444
9.810233,1444
9.810776,1444
9.811348,1444
9.811892,1444
9.812464,1444
9.8130045,1444
9.813571,1444
9.814115,1444
9.814689,1444
9.815238,1444
9.815815,1444
9.816359,1444
9.81693,1444
9.817474,1444
9.8180485,1444
9.818588,1444
9.81916,1444
9.819707,1444
9.820282,1444
9.820825,1444
9.821395,1444
9.821931,1444
9.822497,1444
9.823034,1444
9.823607,1444
9.824158,1444
9.824738,1444
9.82529,1444
9.825863,1444
9.826413,1444
9.826984,1444
9.82752,1444
9.828087,1444
9.828632,1444
9.829208,1444
9.829754,1444
9.830325,1444
9.830865,1444
9.831432,1444
9.83197,1444
9.832541,1444
9.833084,1444
9.833657,1444
9.834203,1444
9.834775,1444
9.835317,1444
9.835888,1444
9.836426,1444
9.836998,1444
9.837544,1444
9.838121,1444
9.838671,1444
9.839248,1444
9.839782,1444
9.840344,1444
9.840882,1444
9.841456,1444
9.842011,1444
9.84259,1444
9.843141,1444
9.843716,1444
9.844257,1444
9.844823,1444
9.84536,1444
9.84593,1444
9.846477,1444
9.847052,1444
9.847597,1444
9.848219,1444
9.84885,1444
9.849461,1444
9.849979,1444
9.850498,1444
9.850995,1444
9.851534,1444
9.852063,1444
9.852633,1444
9.853177,1444
9.85375,1444
9.854293,1444
9.854865,1444
9.855404,1444
9.855974,1444
9.856514,1444
9.857084,1444
9.857632,1444
9.858205,1444
9.858752,1444
9.8593235,1444
9.85987,1444
9.860447,1444
9.861001,1444
9.861579,1444
9.86212,1444
9.862683,1444
9.8632145,1444
9.863781,1444
9.864326,1444
9.864902,1444
9.865446,1444
9.866013,1444
9.866555,1444
9.867127,1444
9.867672,1444
9.868249,1444
9.868797,1444
9.86937,1444
9.869913,1444
9.870485,1444
9.871023,1444
9.871592,1444
9.872131,1444
9.872705,1444
9.873246,1444
9.87382,1444
9.874367,1444
9.874942,1444
9.875493,1444
9.876068,1444
9.876611,1444
9.87718,1444
9.877717,1444
9.878286,1444
9.878841,1444
9.87942,1444
9.879965,1444
9.88053,1444
9.881065,1444
9.881633,1444
9.8821745,1444
9.882747,1444
9.883294,1444
9.883867,1444
9.884411,1444
9.884983,1444
9.885522,1444
9.886094,1444
9.886641,1444
9.8872175,1444
9.88777,1444
9.8883505,1444
9.888906,1444
9.889482,1444
9.890054,1444
9.890643,1444
9.891184,1444
9.891741,1444
9.892259,1444
9.892812,1444
9.893333,1444
9.893897,1444
9.894434,1444
9.895007,1444
9.895552,1444
9.89613,1444
9.896672,1444
9.897244,1444
9.897793,1444
9.898369,1444
9.898914,1444
9.899489,1444
9.900031,1444
9.900602,1444
9.901137,1444
9.901706,1444
9.902249,1444
9.902826,1444
9.903373,1444
9.903952,1444
9.904498,1444
9.905073,1444
9.905618,1444
9.906191,1444
9.906738,1444
9.907313,1444
9.907856,1444
9.908426,1444
9.908966,1444
9.909537,1444
9.91008,1444
9.910652,1444
9.911193,1444
9.911764,1444
9.91231,1444
9.912886,1444
9.913433,1444
9.914008,1444
9.914556,1444
9.915128,1444
9.915677,1444
9.916261,1444
9.916807,1444
9.91738,1444
9.917918,1444
9.918483,1444
9.919022,1444
9.91959,1444
9.920131,1444
9.920699,1444
9.921243,1444
9.921814,1444
9.9223585,1444
9.922932,1444
9.923476,1444
9.924105,1444
9.924741,1444
9.925356,1444
9.925876,1444
9.926389,1444
9.926871,1444
9.927401,1444
9.927919,1444
9.928486,1444
9.929034,1444
9.929617,1444
9.930169,1444
9.930749,1444
9.931294,1444
9.931868,1444
9.932408,1444
9.932979,1444
9.933525,1444
9.934098,1444
9.934645,1444
9.935221,1444
9.935765,1444
9.9363365,1444
9.936877,1444
9.937447,1444
9.937987,1444
9.938559,1444
9.939102,1444
9.939673,1444
9.940221,1444
9.940797,1444
9.94134,1444
9.941921,1444
9.9424715,1444
9.943045,1444
9.943583,1444
9.944148,1444
9.944691,1444
9.945264,1444
9.94581,1444
9.946387,1444
9.946935,1444
9.947506,1444
9.948047,1444
9.948615,1444
9.949153,1444
9.949725,1444
9.950273,1444
9.950849,1444
9.951399,1444
9.951975,1444
9.9525175,1444
9.953088,1444
9.9536295,1444
9.9542,1444
9.954744,1444
9.955316,1444
9.955859,1444
9.956432,1444
9.956972,1444
9.957544,1444
9.958095,1444
9.9586735,1444
9.959219,1444
9.959793,1444
9.960339,1444
9.960909,1444
9.961455,1444
9.962033,1444
9.962582,1444
9.963153,1444
9.963692,1444
9.964258,1444
9.964801,1444
9.965373,1444
9.965915,1444
9.966485,1444
9.967026,1444
9.967596,1444
9.968138,1444
9.968712,1444
9.969249,1444
9.969817,1444
9.970362,1444
9.970937,1444
9.971493,1444
9.972076,1444
9.972623,1444
9.973195,1444
9.973725,1444
9.974285,1444
9.974823,1444
9.975402,1444
9.97596,1444
9.976544,1444
9.977094,1444
9.977669,1444
9.978211,1444
9.978779,1444
9.979315,1444
9.97988,1444
9.98042,1444
9.980992,1444
9.981535,1444
9.98211,1444
9.982657,1444
9.98323,1444
9.983772,1444
9.9843445,1444
9.984885,1444
9.985457,1444
9.986002,1444
9.986575,1444
9.987121,1444
9.987695,1444
9.988238,1444
9.9888115,1444
9.989354,1444
9.989928,1444
9.99047,1444
9.991048,1444
9.991594,1444
9.992168,1444
9.992712,1444
9.993287,1444
9.993827,1444
9.9944,1444
9.9949465,1444
9.9955225,1444
9.996057,1444
9.996621,1444
9.997161,1444
9.997735,1444
9.998282,1444
9.998861,1444
9.999414,1444
10.000052,1444
10.000704,1444
10.001323,1444
10.00184,1444
10.002351,1444
10.002832,1444
10.003363,1444
10.003885,1444
10.004453,1444
10.005,1444
10.005577,1444
10.006121,1444
10.006694,1444
10.007239,1444
10.007814,1444
10.008364,1444
10.008941,1444
10.009485,1444
10.010055,1444
10.010593,1444
10.011162,1444
10.011705,1444
10.01228,1444
10.012828,1444
10.013408,1444
10.013958,1444
10.014531,1444
10.015066,1444
10.015633,1444
10.016172,1444
10.016748,1444
10.017294,1444
10.017866,1444
10.018413,1444
10.0189905,1444
10.019535,1444
10.020105,1444
10.020649,1444
10.021221,1444
10.021766,1444
10.02234,1444
10.0228815,1444
10.023454,1444
10.023993,1444
10.02456,1444
10.025101,1444
10.025675,1444
10.026227,1444
10.026807,1444
10.027355,1444
10.027926,1444
10.028463,1444
10.029031,1444
10.029573,1444
10.030149,1444
10.030698,1444
10.031273,1444
10.0318165,1444
10.032385,1444
10.032922,1444
10.033493,1444
10.034041,1444
10.034619,1444
10.035166,1444
10.035742,1444
10.036288,1444
10.0368595,1444
10.037397,1444
10.037968,1444
10.038513,1444
10.039091,1444
10.03964,1444
10.040218,1444
10.040767,1444
10.04134,1444
10.04189,1444
10.042468,1444
10.043024,1444
10.043604,1444
10.044149,1444
10.044713,1444
10.045244,1444
10.04581,1444
10.046353,1444
10.046934,1444
10.04748,1444
10.04805,1444
10.048575,1444
10.049136,1444
10.049665,1444
10.050235,1444
10.050774,1444
10.051347,1444
10.0518875,1444
10.0524645,1444
10.053007,1444
10.053581,1444
10.054122,1444
10.054698,1444
10.055241,1444
10.055817,1444
10.056367,1444
10.05695,1444
10.057496,1444
10.058071,1444
10.058611,1444
10.059183,1444
10.059725,1444
10.0603,1444
10.060845,1444
10.061422,1444
10.061967,1444
10.062541,1444
10.063084,1444
10.06366,1444
10.064197,1444
10.064768,1444
10.065308,1444
10.065884,1444
10.066428,1444
10.067002,1444
10.067548,1444
10.068124,1444
10.068666,1444
10.06924,1444
10.069781,1444
10.070354,1444
10.070896,1444
10.071469,1444
10.07202,1444
10.0726,1444
10.073148,1444
10.073727,1444
10.074275,1444
10.074852,1444
10.0753975,1444
10.0760355,1444
10.076693,1444
10.077317,1444
10.07784,1444
10.078347,1444
10.078821,1444
10.079344,1444
10.079862,1444
10.080429,1444
10.080979,1444
10.081559,1444
10.082105,1444
10.082676,1444
10.083222,1444
10.083802,1444
10.084351,1444
10.08493,1444
10.085481,1444
10.086054,1444
10.08659,1444
10.087154,1444
10.087694,1444
10.088267,1444
10.088812,1444
10.089382,1444
10.089915,1444
10.090482,1444
10.091021,1444
10.091598,1444
10.092147,1444
10.092729,1444
10.093274,1444
10.093847,1444
