Segundos,Bytes_Por_Segundo
9.7149,1444
9.7155,1444
9.716,1444
9.7166,1444
9.7171,1444
9.7177,1444
9.7182,1444
9.7188,1444
9.7194,1444
9.7199,1444
9.7205,1444
9.721,1444
9.7216,1444
9.7221,1444
9.7227,1444
9.7233,1444
9.7238,1444
9.7244,1444
9.7249,1444
9.7255,1444
9.726,1444
9.7266,1444
9.7272,1444
9.7277,1444
9.7283,1444
9.7288,1444
9.7294,1444
9.7299,1444
9.7305,1444
9.7311,1444
9.7316,1444
9.7322,1444
9.7327,1444
9.7333,1444
9.7338,1444
9.7344,1444
9.7349,1444
9.7355,1444
9.7361,1444
9.7366,1444
9.7372,1444
9.7378,1444
9.7383,1444
9.7389,1444
9.7394,1444
9.74,1444
9.7405,1444
9.7411,1444
9.7417,1444
9.7422,1444
9.7428,1444
9.7433,1444
9.7439,1444
9.7445,1444
9.745,1444
9.7456,1444
9.7461,1444
9.7467,1444
9.7472,1444
9.7478,1444
9.7483,1444
9.7489,1444
9.7494,1444
9.75,1444
9.7506,1444
9.7511,1444
9.7517,1444
9.7522,1444
9.7528,1444
9.7534,1444
9.7539,1444
9.7545,1444
9.755,1444
9.7556,1444
9.7561,1444
9.7567,1444
9.7572,1444
9.7578,1444
9.7584,1444
9.759,1444
9.7595,1444
9.7601,1444
9.7606,1444
9.7612,1444
9.7617,1444
9.7623,1444
9.7628,1444
9.7634,1444
9.764,1444
9.7645,1444
9.7651,1444
9.7657,1444
9.7662,1444
9.7668,1444
9.7673,1444
9.7679,1444
9.7684,1444
9.769,1444
9.7695,1444
9.7701,1444
9.7706,1444
9.7712,1444
9.7718,1444
9.7724,1444
9.773,1444
9.7736,1444
9.7742,1444
9.7747,1444
9.7752,1444
9.7757,1444
9.7762,1444
9.7768,1444
9.7773,1444
9.7779,1444
9.7784,1444
9.779,1444
9.7796,1444
9.7801,1444
9.7807,1444
9.7813,1444
9.7818,1444
9.7824,1444
9.783,1444
9.7835,1444
9.784,1444
9.7846,1444
9.7851,1444
9.7857,1444
9.7863,1444
9.7868,1444
9.7874,1444
9.788,1444
9.7885,1444
9.7891,1444
9.7896,1444
9.7902,1444
9.7907,1444
9.7913,1444
9.7918,1444
9.7924,1444
9.793,1444
9.7935,1444
9.7941,1444
9.7947,1444
9.7952,1444
9.7958,1444
9.7963,1444
9.7969,1444
9.7974,1444
9.798,1444
9.7985,1444
9.7991,1444
9.7996,1444
9.8002,1444
9.8007,1444
9.8013,1444
9.8019,1444
9.8024,1444
9.803,1444
9.8036,1444
9.8041,1444
9.8047,1444
9.8052,1444
9.8058,1444
9.8063,1444
9.8069,1444
9.8074,1444
9.808,1444
9.8086,1444
9.8091,1444
9.8097,1444
9.8102,1444
9.8108,1444
9.8113,1444
9.8119,1444
9.8125,1444
9.813,1444
9.8136,1444
9.8141,1444
9.8147,1444
9.8152,1444
9.8158,1444
9.8164,1444
9.8169,1444
9.8175,1444
9.818,1444
9.8186,1444
9.8192,1444
9.8197,1444
9.8203,1444
9.8208,1444
9.8214,1444
9.8219,1444
9.8225,1444
9.823,1444
9.8236,1444
9.8242,1444
9.8247,1444
9.8253,1444
9.8259,1444
9.8264,1444
9.827,1444
9.8275,1444
9.8281,1444
9.8286,1444
9.8292,1444
9.8298,1444
9.8303,1444
9.8309,1444
9.8314,1444
9.832,1444
9.8325,1444
9.8331,1444
9.8337,1444
9.8342,1444
9.8348,1444
9.8353,1444
9.8359,1444
9.8364,1444
9.837,1444
9.8375,1444
9.8381,1444
9.8387,1444
9.8392,1444
9.8398,1444
9.8403,1444
9.8409,1444
9.8415,1444
9.842,1444
9.8426,1444
9.8431,1444
9.8437,1444
9.8443,1444
9.8448,1444
9.8454,1444
9.8459,1444
9.8465,1444
9.8471,1444
9.8476,1444
9.8482,1444
9.8488,1444
9.8495,1444
9.85,1444
9.8505,1444
9.851,1444
9.8515,1444
9.8521,1444
9.8526,1444
9.8532,1444
9.8538,1444
9.8543,1444
9.8549,1444
9.8554,1444
9.856,1444
9.8565,1444
9.8571,1444
9.8576,1444
9.8582,1444
9.8588,1444
9.8593,1444
9.8599,1444
9.8604,1444
9.861,1444
9.8616,1444
9.8621,1444
9.8627,1444
9.8632,1444
9.8638,1444
9.8643,1444
9.8649,1444
9.8654,1444
9.866,1444
9.8666,1444
9.8671,1444
9.8677,1444
9.8682,1444
9.8688,1444
9.8694,1444
9.8699,1444
9.8705,1444
9.871,1444
9.8716,1444
9.8721,1444
9.8727,1444
9.8732,1444
9.8738,1444
9.8744,1444
9.8749,1444
9.8755,1444
9.8761,1444
9.8766,1444
9.8772,1444
9.8777,1444
9.8783,1444
9.8788,1444
9.8794,1444
9.88,1444
9.8805,1444
9.8811,1444
9.8816,1444
9.8822,1444
9.8827,1444
9.8833,1444
9.8839,1444
9.8844,1444
9.885,1444
9.8855,1444
9.8861,1444
9.8866,1444
9.8872,1444
9.8878,1444
9.8884,1444
9.8889,1444
9.8895,1444
9.8901,1444
9.8906,1444
9.8912,1444
9.8917,1444
9.8923,1444
9.8928,1444
9.8933,1444
9.8939,1444
9.8944,1444
9.895,1444
9.8956,1444
9.8961,1444
9.8967,1444
9.8972,1444
9.8978,1444
9.8984,1444
9.8989,1444
9.8995,1444
9.9,1444
9.9006,1444
9.9011,1444
9.9017,1444
9.9022,1444
9.9028,1444
9.9034,1444
9.904,1444
9.9045,1444
9.9051,1444
9.9056,1444
9.9062,1444
9.9067,1444
9.9073,1444
9.9079,1444
9.9084,1444
9.909,1444
9.9095,1444
9.9101,1444
9.9107,1444
9.9112,1444
9.9118,1444
9.9123,1444
9.9129,1444
9.9134,1444
9.914,1444
9.9146,1444
9.9151,1444
9.9157,1444
9.9163,1444
9.9168,1444
9.9174,1444
9.9179,1444
9.9185,1444
9.919,1444
9.9196,1444
9.9201,1444
9.9207,1444
9.9212,1444
9.9218,1444
9.9224,1444
9.9229,1444
9.9235,1444
9.9241,1444
9.9247,1444
9.9254,1444
9.9259,1444
9.9264,1444
9.9269,1444
9.9274,1444
9.9279,1444
9.9285,1444
9.929,1444
9.9296,1444
9.9302,1444
9.9307,1444
9.9313,1444
9.9319,1444
9.9324,1444
9.933,1444
9.9335,1444
9.9341,1444
9.9346,1444
9.9352,1444
9.9358,1444
9.9363,1444
9.9369,1444
9.9374,1444
9.938,1444
9.9386,1444
9.9391,1444
9.9397,1444
9.9402,1444
9.9408,1444
9.9413,1444
9.9419,1444
9.9425,1444
9.943,1444
9.9436,1444
9.9441,1444
9.9447,1444
9.9453,1444
9.9458,1444
9.9464,1444
9.9469,1444
9.9475,1444
9.948,1444
9.9486,1444
9.9492,1444
9.9497,1444
9.9503,1444
9.9508,1444
9.9514,1444
9.952,1444
9.9525,1444
9.9531,1444
9.9536,1444
9.9542,1444
9.9547,1444
9.9553,1444
9.9559,1444
9.9564,1444
9.957,1444
9.9575,1444
9.9581,1444
9.9587,1444
9.9592,1444
9.9598,1444
9.9603,1444
9.9609,1444
9.9615,1444
9.962,1444
9.9626,1444
9.9632,1444
9.9637,1444
9.9643,1444
9.9648,1444
9.9654,1444
9.9659,1444
9.9665,1444
9.967,1444
9.9676,1444
9.9681,1444
9.9687,1444
9.9692,1444
9.9698,1444
9.9704,1444
9.9709,1444
9.9715,1444
9.9721,1444
9.9726,1444
9.9732,1444
9.9737,1444
9.9743,1444
9.9748,1444
9.9754,1444
9.976,1444
9.9765,1444
9.9771,1444
9.9777,1444
9.9782,1444
9.9788,1444
9.9793,1444
9.9799,1444
9.9804,1444
9.981,1444
9.9815,1444
9.9821,1444
9.9827,1444
9.9832,1444
9.9838,1444
9.9843,1444
9.9849,1444
9.9855,1444
9.986,1444
9.9866,1444
9.9871,1444
9.9877,1444
9.9882,1444
9.9888,1444
9.9894,1444
9.9899,1444
9.9905,1444
9.991,1444
9.9916,1444
9.9922,1444
9.9927,1444
9.9933,1444
9.9938,1444
9.9944,1444
9.9949,1444
9.9955,1444
9.9961,1444
9.9966,1444
9.9972,1444
9.9977,1444
9.9983,1444
9.9989,1444
9.9994,1444
10.0001,1444
10.0007,1444
10.0013,1444
10.0018,1444
10.0024,1444
10.0028,1444
10.0034,1444
10.0039,1444
10.0045,1444
10.005,1444
10.0056,1444
10.0061,1444
10.0067,1444
10.0072,1444
10.0078,1444
10.0084,1444
10.0089,1444
10.0095,1444
10.0101,1444
10.0106,1444
10.0112,1444
10.0117,1444
10.0123,1444
10.0128,1444
10.0134,1444
10.014,1444
10.0145,1444
10.0151,1444
10.0156,1444
10.0162,1444
10.0167,1444
10.0173,1444
10.0179,1444
10.0184,1444
10.019,1444
10.0195,1444
10.0201,1444
10.0206,1444
10.0212,1444
10.0218,1444
10.0223,1444
10.0229,1444
10.0235,1444
10.024,1444
10.0246,1444
10.0251,1444
10.0257,1444
10.0262,1444
10.0268,1444
10.0274,1444
10.0279,1444
10.0285,1444
10.029,1444
10.0296,1444
10.0301,1444
10.0307,1444
10.0313,1444
10.0318,1444
10.0324,1444
10.0329,1444
10.0335,1444
10.034,1444
10.0346,1444
10.0352,1444
10.0357,1444
10.0363,1444
10.0369,1444
10.0374,1444
10.038,1444
10.0385,1444
10.0391,1444
10.0396,1444
10.0402,1444
10.0408,1444
10.0413,1444
10.0419,1444
10.0425,1444
10.043,1444
10.0436,1444
10.0441,1444
10.0447,1444
10.0452,1444
10.0458,1444
10.0464,1444
10.0469,1444
10.0475,1444
10.048,1444
10.0486,1444
10.0491,1444
10.0497,1444
10.0502,1444
10.0508,1444
10.0513,1444
10.0519,1444
10.0525,1444
10.053,1444
10.0536,1444
10.0541,1444
10.0547,1444
10.0552,1444
10.0558,1444
10.0564,1444
10.057,1444
10.0575,1444
10.0581,1444
10.0586,1444
10.0592,1444
10.0597,1444
10.0603,1444
10.0608,1444
10.0614,1444
10.062,1444
10.0625,1444
10.0631,1444
10.0637,1444
10.0642,1444
10.0648,1444
10.0653,1444
10.0659,1444
10.0664,1444
10.067,1444
10.0675,1444
10.0681,1444
10.0687,1444
10.0692,1444
10.0698,1444
10.0704,1444
10.0709,1444
10.0715,1444
10.072,1444
10.0726,1444
10.0731,1444
10.0737,1444
10.0743,1444
10.0749,1444
10.0754,1444
10.076,1444
10.0767,1444
10.0773,1444
10.0778,1444
10.0783,1444
10.0788,1444
10.0793,1444
10.0799,1444
10.0804,1444
10.081,1444
10.0816,1444
10.0821,1444
10.0827,1444
10.0832,1444
10.0838,1444
10.0844,1444
10.0849,1444
10.0855,1444
10.0861,1444
10.0866,1444
10.0872,1444
10.0877,1444
10.0883,1444
10.0888,1444
10.0894,1444
10.0899,1444
10.0905,1444
10.091,1444
10.0916,1444
10.0921,1444
10.0927,1444
10.0933,1444
10.0938,1444
10.0944,1444
10.095,1444
10.0955,1444
10.0961,1444
10.0966,1444
10.0972,1444
10.0978,1444
10.0983,1444
10.0989,1444
10.0994,1444
10.1,1444
10.1005,1444
10.1011,1444
10.1017,1444
10.1022,1444
10.1028,1444
10.1033,1444
10.1039,1444
10.1044,1444
10.105,1444
10.1056,1444
10.1061,1444
10.1067,1444
10.1073,1444
10.1078,1444
10.1084,1444
10.1089,1444
10.1095,1444
10.11,1444
10.1106,1444
10.1112,1444
10.1118,1444
10.1123,1444
10.1129,1444
10.1134,1444
10.114,1444
10.1145,1444
10.1151,1444
10.1156,1444
10.1162,1444
10.1168,1444
10.1173,1444
10.1179,1444
10.1185,1444
10.119,1444
10.1196,1444
10.1201,1444
10.1207,1444
10.1212,1444
10.1218,1444
10.1223,1444
10.1229,1444
10.1235,1444
10.124,1444
10.1246,1444
10.1252,1444
10.1257,1444
10.1263,1444
10.1268,1444
10.1274,1444
10.1279,1444
10.1285,1444
10.129,1444
10.1296,1444
10.1302,1444
10.1307,1444
10.1313,1444
10.1318,1444
10.1324,1444
10.133,1444
10.1335,1444
10.1341,1444
10.1346,1444
10.1352,1444
10.1358,1444
10.1363,1444
10.1369,1444
10.1374,1444
10.138,1444
10.1386,1444
10.1391,1444
10.1397,1444
10.1402,1444
10.1408,1444
10.1413,1444
10.1419,1444
10.1425,1444
10.1431,1444
10.1436,1444
10.1442,1444
10.1447,1444
10.1453,1444
10.1458,1444
10.1464,1444
10.147,1444
10.1475,1444
10.1481,1444
10.1486,1444
10.1492,1444
10.1498,1444
10.1503,1444
10.1509,1444
10.1514,1444
10.152,1444
10.1527,1444
10.1533,1444
10.1538,1444
10.1543,1444
10.1548,1444
10.1554,1444
10.1559,1444
10.1565,1444
10.157,1444
10.1576,1444
10.1581,1444
10.1587,1444
10.1592,1444
10.1598,1444
10.1604,1444
10.1609,1444
10.1615,1444
10.1621,1444
10.1626,1444
10.1632,1444
10.1637,1444
10.1643,1444
10.1648,1444
10.1654,1444
10.166,1444
10.1665,1444
10.1671,1444
10.1677,1444
10.1682,1444
10.1688,1444
10.1693,1444
10.1699,1444
10.1704,1444
10.171,1444
10.1715,1444
10.1721,1444
10.1727,1444
10.1732,1444
10.1738,1444
10.1744,1444
10.1749,1444
10.1755,1444
10.176,1444
10.1766,1444
10.1772,1444
10.1777,1444
10.1783,1444
10.1788,1444
10.1794,1444
10.18,1444
10.1805,1444
10.1811,1444
10.1816,1444
10.1822,1444
10.1827,1444
10.1833,1444
10.1838,1444
10.1844,1444
10.185,1444
10.1855,1444
10.1861,1444
10.1866,1444
10.1872,1444
10.1878,1444
10.1883,1444
10.1889,1444
10.1894,1444
10.19,1444
10.1906,1444
10.1911,1444
10.1917,1444
10.1923,1444
10.1928,1444
10.1934,1444
10.1939,1444
